feature_base,shared_fwd_top_logits,shared_fwd_bottom_logits,shared_fwd_max_toks,shared_bwd_top_logits,shared_bwd_bottom_logits,shared_bwd_max_toks
3174,1,1,1,1,1,1
5555,8,4,1,7,4,1
2908,8,6,1,5,6,1
1294,3,1,1,1,2,1
5226,3,4,2,3,3,2
3143,5,1,1,2,2,1
3772,6,7,1,6,5,1
3092,2,2,1,4,4,1
5734,1,0,3,0,1,2
4217,5,3,1,2,0,0
466,5,5,3,8,4,2
3286,8,5,1,5,2,1
2378,1,1,3,0,1,1
1482,0,0,0,0,4,1
87,2,3,1,0,0,1
1396,6,1,1,6,2,1
5219,4,1,2,1,2,1
871,5,7,1,8,5,1
3735,1,0,1,1,0,0
130,4,4,1,1,1,0
3733,8,4,1,9,4,1
3380,0,4,3,1,0,2
769,0,0,1,1,5,2
4439,7,5,1,3,3,1
3563,0,5,1,4,2,1
5533,5,4,3,2,5,4
4901,6,3,1,6,7,1
2433,2,2,1,1,2,1
5311,4,2,1,3,0,1
955,4,4,1,5,6,1
276,8,7,2,7,6,1
5280,9,5,1,8,5,1
4555,6,2,1,8,6,1
3385,1,2,1,0,2,0
2069,3,1,2,1,6,3
4348,0,4,3,1,0,1
2795,2,3,1,2,1,1
4952,3,6,1,0,5,1
5680,3,3,1,1,2,1
474,2,1,1,0,0,1
1082,6,5,1,7,5,1
510,7,7,1,2,2,1
1705,4,7,3,4,6,3
4095,5,0,1,4,2,1
5595,7,5,1,5,4,1
2747,2,4,2,0,0,1
3023,0,3,1,0,1,1
5902,0,0,0,3,1,1
189,2,0,3,0,0,2
3005,1,1,1,0,0,0
4782,1,3,2,5,2,3
957,1,6,1,2,7,2
562,1,3,1,0,1,1
1899,0,2,0,0,1,0
5686,3,3,1,4,4,1
1267,1,0,0,0,1,1
4927,7,5,1,2,6,1
5624,4,2,1,0,1,1
1154,1,3,3,1,0,2
5604,7,5,1,4,3,1
3890,5,6,1,5,4,1
2694,9,8,2,1,0,1
20,0,0,1,0,0,1
4936,5,3,1,2,2,1
2214,6,3,1,1,6,1
5393,6,1,1,5,0,1
387,0,0,0,0,0,0
4696,3,4,1,7,3,1
4411,2,3,0,0,0,0
13,3,3,1,0,0,0
4337,4,0,1,0,0,1
4089,9,6,3,9,6,2
2824,0,1,0,0,0,0
1369,1,5,2,1,0,1
4660,8,5,1,8,6,2
2945,7,3,1,5,2,1
3411,3,7,2,2,5,1
91,0,0,0,0,0,0
5486,2,3,1,2,2,1
5051,2,2,2,1,4,2
5574,0,2,1,0,2,1
3499,5,5,2,1,1,1
4604,0,0,0,1,0,0
2823,10,6,1,9,4,1
1966,6,3,1,7,3,1
4130,2,0,4,0,1,3
205,0,5,2,5,2,3
1104,0,0,1,0,0,1
1955,7,6,1,7,6,1
1585,8,5,2,7,7,1
3943,4,2,1,0,0,0
5507,2,2,1,3,1,1
5121,4,3,1,2,4,1
3069,0,0,3,0,0,1
5509,7,6,1,6,1,1
4661,1,1,0,1,0,2
1129,2,2,1,2,0,1
1795,4,6,1,5,4,1
3893,4,6,2,9,3,3
3548,4,2,3,3,2,4
4798,2,4,1,6,3,1
4497,0,1,0,0,0,2
729,4,0,0,0,0,0
5675,1,1,1,3,0,1
2209,6,5,1,6,1,1
201,7,5,4,8,5,1
4029,4,1,1,1,1,1
3043,1,0,5,0,0,1
2317,8,2,2,4,2,3
5982,7,3,1,8,6,1
4911,7,6,1,4,4,1
3342,5,6,1,1,4,1
4551,2,4,1,0,1,1
1485,0,4,2,0,3,1
5846,3,2,2,1,0,2
3323,2,2,1,2,1,1
1016,10,7,1,9,6,1
5821,5,7,1,4,4,1
2343,2,2,3,3,0,2
5844,2,1,2,0,0,0
719,0,0,1,0,0,0
3820,4,0,1,1,0,1
4433,7,5,2,3,5,2
878,1,5,2,2,4,1
3124,8,4,1,7,6,1
4887,6,8,1,2,5,1
3993,0,0,0,0,0,0
2264,8,6,1,8,6,1
2811,3,5,2,4,2,0
4283,4,5,2,2,1,0
379,0,0,0,0,0,0
2540,5,6,2,4,4,2
1064,8,4,2,5,6,2
1180,4,1,2,0,0,0
2062,3,5,3,6,4,3
5932,1,4,1,0,0,1
4160,5,2,2,3,0,3
3928,3,3,1,2,3,1
5958,7,1,1,8,3,1
520,6,3,1,6,2,1
1367,2,4,1,3,3,1
1152,4,1,0,0,1,0
2027,0,1,0,0,0,0
647,6,5,3,1,3,3
1495,5,2,2,2,0,1
3134,7,4,1,1,5,1
5258,5,3,1,6,1,1
5618,0,0,0,2,2,4
592,8,9,2,7,6,1
391,8,3,1,8,5,1
5794,6,5,2,4,8,2
4514,4,1,2,1,3,1
288,10,2,1,7,6,1
4474,3,2,1,0,0,1
5892,0,0,0,0,0,0
1513,7,6,3,1,0,0
4326,6,7,3,5,6,1
5113,3,2,2,0,0,0
2088,7,3,0,0,0,0
1051,2,3,5,2,1,2
134,7,4,2,4,6,2
200,0,1,1,1,0,1
5959,1,0,0,4,3,2
4875,0,0,1,0,0,0
2977,6,6,1,6,6,1
3104,0,1,0,4,0,1
3119,0,0,0,0,0,0
4598,3,5,0,0,0,1
2454,6,8,2,8,4,1
5693,0,3,0,0,0,0
3799,5,4,3,2,3,3
2852,4,4,1,4,0,1
4194,3,4,1,1,4,1
683,3,0,3,1,1,3
5991,7,6,1,7,3,1
2773,2,2,3,1,1,6
4058,7,7,1,7,7,1
3618,6,1,1,4,0,1
960,4,4,2,0,5,1
1762,5,4,3,5,4,3
2660,8,8,1,7,6,1
6062,0,0,0,2,0,1
4738,2,0,2,0,0,1
