feature_base,shared_fwd_top_logits,shared_fwd_bottom_logits,shared_fwd_max_toks,shared_bwd_top_logits,shared_bwd_bottom_logits,shared_bwd_max_toks
3174,4,1,1,1,0,1
5555,3,3,1,6,6,1
2908,2,2,1,0,0,1
1294,0,1,1,0,0,1
5226,0,0,1,0,0,0
3143,7,7,2,8,3,1
3772,6,5,3,4,5,1
3092,6,5,1,5,7,1
5734,6,4,1,8,7,1
4217,1,5,1,0,1,0
466,1,0,0,0,0,0
3286,6,7,1,4,4,1
2378,1,5,1,4,6,1
1482,4,4,3,6,4,1
87,1,1,0,6,4,1
1396,5,4,1,6,3,1
5219,8,1,1,6,4,1
871,4,2,1,0,1,1
3735,4,1,1,4,3,1
130,2,3,1,5,5,1
3733,4,2,1,6,5,1
3380,1,3,1,4,1,1
769,6,1,1,5,3,1
4439,3,6,0,3,5,1
3563,4,3,1,4,1,1
5533,1,0,1,0,0,4
4901,6,3,1,7,6,1
2433,3,2,1,5,6,1
5311,7,5,1,5,7,1
955,2,3,1,2,2,1
276,5,2,1,6,6,1
5280,0,0,1,3,1,1
4555,2,6,1,3,4,1
3385,6,2,1,6,5,1
2069,0,5,1,7,3,1
4348,2,1,1,1,4,1
2795,0,5,1,5,6,1
4952,3,7,1,5,1,1
5680,0,0,0,1,0,1
474,7,4,1,9,5,1
1082,5,3,1,5,4,1
510,0,0,0,2,2,1
1705,3,3,1,7,3,1
4095,3,4,1,6,6,1
5595,1,1,1,0,0,0
2747,8,1,1,0,4,0
3023,2,2,1,1,1,3
5902,5,2,1,6,8,1
189,4,5,1,2,4,1
3005,4,5,1,3,2,1
4782,5,5,1,6,6,1
957,5,1,1,3,4,1
562,9,1,3,9,4,0
1899,5,4,1,8,5,1
5686,6,6,1,7,6,1
1267,3,6,1,7,6,1
4927,5,2,1,7,1,1
5624,3,5,0,0,7,0
1154,3,0,1,6,6,1
5604,2,4,3,0,2,1
3890,7,2,1,7,2,1
2694,0,0,2,3,1,0
20,6,8,1,4,7,1
4936,0,0,1,4,3,1
2214,2,3,1,6,3,1
5393,3,0,2,0,2,0
387,1,2,1,2,6,1
4696,7,2,1,4,3,1
4411,5,7,1,5,8,1
13,6,5,0,0,6,1
4337,4,5,1,5,7,1
4089,4,5,1,4,6,1
2824,5,7,1,8,5,1
1369,2,3,1,2,5,1
4660,2,1,1,0,0,0
2945,4,4,1,3,6,0
3411,7,5,1,6,5,1
91,5,3,1,5,3,1
5486,7,3,1,7,5,1
5051,1,0,0,1,0,0
5574,0,1,1,1,2,1
3499,0,0,0,0,0,1
4604,7,7,1,9,5,1
2823,6,0,1,5,2,1
1966,5,4,1,4,5,1
4130,0,1,0,2,2,1
205,0,1,1,0,1,1
1104,0,0,0,0,4,0
1955,6,3,1,7,7,1
1585,6,3,1,9,5,1
3943,5,3,1,5,5,1
5507,6,7,1,4,1,1
5121,6,5,1,7,6,1
3069,4,5,1,4,3,1
5509,6,6,1,9,5,1
4661,0,0,2,2,0,1
1129,1,2,1,4,3,1
1795,8,6,1,5,4,1
3893,2,3,1,5,5,1
3548,6,6,2,10,6,2
4798,6,0,1,6,6,1
4497,3,1,1,0,1,1
729,3,5,1,6,3,1
5675,1,2,3,0,0,0
2209,0,4,2,4,5,1
201,2,1,1,3,0,1
4029,3,0,1,0,1,1
3043,1,6,1,5,8,1
2317,0,1,1,0,1,1
5982,1,1,1,0,1,2
4911,4,5,1,3,2,1
3342,3,2,1,6,7,1
4551,5,1,1,5,6,1
1485,2,5,1,2,3,1
5846,1,0,1,1,1,1
3323,3,6,1,7,4,1
1016,5,1,1,5,8,1
5821,3,4,1,6,6,1
2343,2,2,1,4,4,1
5844,5,6,1,5,7,0
719,4,2,1,5,8,1
3820,3,6,3,2,4,2
4433,1,3,1,3,4,1
878,1,0,1,0,1,0
3124,6,1,3,9,2,2
4887,0,3,2,3,5,1
3993,3,4,1,5,4,1
2264,5,4,1,5,4,1
2811,3,1,2,0,0,0
4283,6,4,2,3,3,0
379,1,2,1,0,0,0
2540,4,4,2,5,6,2
1064,5,4,1,6,4,1
1180,8,7,1,1,7,1
2062,5,2,1,5,2,1
5932,4,6,1,5,2,1
4160,5,1,1,7,4,1
3928,5,5,1,8,8,1
5958,2,5,1,1,4,1
520,4,4,1,4,5,1
1367,3,5,1,5,5,1
1152,4,2,1,4,4,1
2027,3,5,1,3,5,1
647,7,6,1,3,2,1
1495,2,1,1,4,0,1
3134,5,4,1,5,4,1
5258,1,3,1,3,3,1
5618,3,3,1,2,5,1
592,0,6,1,4,5,1
391,7,8,2,7,8,2
5794,4,3,1,1,0,0
4514,3,1,1,4,5,1
288,6,6,1,7,1,1
4474,5,2,2,4,5,1
5892,3,5,1,6,3,1
1513,0,1,1,0,0,0
4326,4,5,1,9,3,1
5113,7,4,1,7,2,1
2088,6,5,1,6,3,1
1051,2,1,0,0,0,1
134,3,3,2,2,5,2
200,7,3,1,7,7,1
5959,7,4,1,7,5,0
4875,4,5,1,5,5,1
2977,8,6,2,4,7,3
3104,2,4,1,4,6,1
3119,5,5,1,7,8,1
4598,7,0,1,4,0,1
2454,5,3,1,4,2,1
5693,5,2,1,1,0,1
3799,6,6,1,5,6,1
2852,4,2,1,5,8,1
4194,5,2,1,2,3,1
683,2,3,1,6,7,1
5991,4,5,1,5,4,1
2773,5,3,1,1,1,0
4058,1,3,2,0,0,0
3618,4,2,2,2,1,0
960,3,4,1,5,6,0
1762,4,6,1,6,6,1
2660,1,2,1,2,1,0
6062,9,3,1,7,4,1
4738,0,1,1,0,0,1
1792,5,7,1,9,7,1
3076,3,4,0,7,5,0
1241,3,3,1,6,5,1
2550,4,4,1,6,3,1
766,1,1,1,1,5,1
4493,7,5,1,8,5,1
870,2,2,1,4,5,1
794,0,0,0,0,0,2
4488,3,2,1,5,1,1
2254,2,4,1,3,4,1
5134,4,1,2,3,3,1
1881,4,4,1,3,3,1
1577,7,4,1,8,5,1
2939,4,4,1,4,6,1
3532,6,6,1,8,4,1
5810,1,0,1,4,7,1
3646,7,5,1,8,8,1
863,2,1,0,0,2,0
742,3,3,1,2,0,1
5360,4,4,1,6,5,1
4659,6,4,1,8,6,1
1020,4,4,1,8,8,1
4191,5,0,1,0,5,1
6019,7,7,1,6,8,1
5853,6,4,1,4,5,1
4580,0,0,1,1,0,1
5526,4,3,0,0,0,0
2278,3,6,1,5,5,1
