feature_base,shared_fwd_top_logits,shared_fwd_bottom_logits,shared_fwd_max_toks,shared_bwd_top_logits,shared_bwd_bottom_logits,shared_bwd_max_toks
3174,2,1,3,1,0,1
5555,5,5,1,5,1,1
2908,3,7,1,4,4,1
1294,6,4,1,4,6,1
5226,5,2,1,1,2,1
3143,4,3,2,2,4,2
3772,2,2,1,1,3,1
3092,3,6,1,3,5,1
5734,6,6,2,5,2,2
4217,8,5,1,0,2,1
466,5,3,1,2,3,1
3286,2,0,1,6,0,1
2378,4,6,1,4,3,1
1482,5,4,1,4,2,1
87,3,5,2,1,6,1
1396,4,6,1,3,4,1
5219,4,4,2,4,3,0
871,3,1,1,2,0,1
3735,4,5,1,4,5,1
130,0,0,0,0,0,0
3733,5,2,1,0,3,1
3380,0,0,0,3,0,1
769,7,6,2,8,5,2
4439,9,2,3,0,2,3
3563,5,6,1,2,4,1
5533,2,2,0,4,3,0
4901,0,0,0,0,0,0
2433,9,6,1,9,5,1
5311,0,1,1,0,0,1
955,5,7,1,1,6,1
276,0,3,1,2,3,1
5280,2,3,1,4,2,1
4555,0,0,0,3,3,2
3385,7,2,1,6,2,1
2069,5,4,1,3,4,1
4348,1,1,1,1,1,1
2795,1,1,1,0,1,1
4952,7,8,1,5,7,1
5680,9,4,1,4,3,1
474,4,4,1,4,4,1
1082,4,3,1,0,3,1
510,1,0,1,4,3,1
1705,9,2,1,5,3,1
4095,1,2,1,0,1,1
5595,8,1,1,5,2,1
2747,8,1,1,2,1,1
3023,3,0,0,0,0,0
5902,3,4,1,5,3,1
189,4,0,2,0,1,2
3005,8,7,1,5,4,1
4782,3,1,1,1,1,1
957,4,1,0,2,0,5
562,1,1,1,2,5,1
1899,5,4,1,3,1,1
5686,0,0,1,1,0,1
1267,0,0,0,2,0,1
4927,5,1,1,0,2,1
5624,3,0,1,5,0,1
1154,2,2,0,0,0,1
5604,1,1,3,1,0,1
3890,8,2,1,6,4,1
2694,8,7,1,7,6,1
20,7,6,1,6,3,1
4936,4,5,1,3,2,1
2214,1,2,1,3,2,1
5393,6,6,2,4,3,1
387,5,3,2,6,3,1
4696,3,3,1,3,5,1
4411,1,2,1,1,3,1
13,4,2,1,4,1,1
4337,0,2,1,0,3,1
4089,6,3,1,5,4,1
2824,6,5,1,5,2,1
1369,1,0,1,2,1,0
4660,4,0,1,0,1,1
2945,3,0,1,3,4,1
3411,5,1,1,2,1,1
91,2,2,1,0,4,1
5486,8,7,2,7,3,1
5051,5,4,1,6,5,1
5574,0,0,0,2,0,1
3499,8,7,1,5,4,2
4604,0,3,1,4,3,1
2823,6,6,1,5,4,1
1966,0,0,0,2,1,0
4130,3,1,3,0,2,2
205,4,2,1,1,3,1
1104,2,2,1,1,1,1
1955,2,5,1,0,0,0
1585,4,1,1,6,6,1
3943,1,0,0,2,4,3
5507,4,4,1,4,3,1
5121,7,4,1,5,6,1
3069,7,5,2,9,6,1
5509,1,0,1,0,2,0
4661,3,6,1,3,6,1
1129,5,3,1,3,2,1
1795,2,0,1,0,0,0
3893,4,3,1,5,4,1
3548,4,5,1,3,6,1
4798,0,1,4,1,1,2
4497,4,2,1,3,2,1
729,7,4,1,6,3,1
5675,5,5,1,5,5,1
2209,8,4,1,8,5,1
201,2,3,5,3,3,6
4029,0,1,1,2,0,1
3043,6,5,1,2,3,1
2317,5,4,1,3,5,1
5982,3,1,3,0,0,2
4911,0,2,1,2,1,1
3342,2,4,1,0,1,1
4551,1,0,1,1,0,1
1485,2,0,0,0,2,0
5846,0,1,0,1,1,0
3323,5,6,4,5,5,5
1016,2,2,2,0,2,2
5821,2,0,1,0,0,1
2343,5,2,1,4,4,1
5844,5,2,1,3,1,1
719,7,4,2,3,4,1
3820,3,2,1,7,4,1
4433,4,2,1,5,6,1
878,8,1,2,1,3,2
3124,6,4,1,4,3,1
4887,0,1,0,0,0,0
3993,9,4,1,8,2,1
2264,0,1,0,6,5,1
2811,7,2,1,6,1,1
4283,2,3,0,4,0,1
379,8,6,1,7,3,1
2540,2,1,2,3,4,1
1064,1,0,2,0,1,1
1180,0,0,0,7,2,1
2062,0,0,0,4,1,2
5932,0,2,1,3,2,1
4160,6,4,1,4,4,1
3928,0,5,1,1,2,1
5958,6,4,1,5,0,1
