feature_base,shared_fwd_top_logits,shared_fwd_bottom_logits,shared_fwd_max_toks,shared_bwd_top_logits,shared_bwd_bottom_logits,shared_bwd_max_toks
3174,6,1,1,4,1,3
5555,7,2,3,5,1,0
2908,7,7,4,8,7,4
1294,3,4,0,2,3,1
5226,5,0,2,4,0,0
3143,0,2,0,0,0,0
3772,6,0,1,3,1,1
3092,3,2,3,1,3,2
5734,1,2,2,0,0,1
4217,4,3,4,0,2,4
466,7,5,3,4,6,2
3286,0,0,1,2,3,1
2378,5,1,4,1,2,5
1482,2,2,2,0,1,2
87,2,0,1,3,0,1
1396,3,1,4,1,0,2
5219,6,5,1,7,5,1
871,5,2,2,1,0,3
3735,7,1,1,7,6,2
130,2,0,2,2,4,2
3733,4,0,2,3,3,2
3380,5,7,6,3,4,5
769,6,2,0,2,3,4
4439,9,2,8,9,1,2
3563,4,0,1,3,4,1
5533,1,0,4,2,4,3
4901,9,4,1,0,1,1
2433,5,6,3,4,2,4
5311,1,4,4,1,4,3
955,7,5,3,6,1,4
276,4,4,1,2,1,1
5280,2,0,3,6,3,4
4555,5,6,4,7,3,3
3385,2,5,1,1,2,1
2069,2,0,0,2,0,2
4348,6,5,4,4,7,4
2795,2,2,4,0,0,2
4952,7,2,2,2,2,3
5680,3,0,5,0,0,5
474,7,3,1,9,3,1
1082,7,1,2,6,1,2
510,4,2,1,3,1,1
1705,3,2,0,2,3,1
4095,5,5,2,3,5,1
5595,7,8,3,6,7,2
2747,9,4,3,7,2,0
3023,3,0,4,3,0,0
5902,4,2,1,4,4,1
189,6,3,1,4,2,1
3005,7,4,2,6,6,2
4782,7,4,3,4,1,2
957,8,3,3,7,3,3
562,5,4,1,0,5,3
1899,9,3,3,7,1,1
5686,4,1,1,5,1,1
1267,2,2,1,5,1,1
4927,0,4,4,4,1,5
5624,4,7,7,5,2,5
1154,7,3,6,7,3,3
5604,2,0,0,1,3,2
3890,1,3,4,2,0,1
2694,3,1,3,0,1,1
20,6,3,3,3,2,2
4936,4,2,5,2,4,5
2214,5,2,3,5,5,3
5393,5,3,4,2,3,4
387,8,6,3,5,5,2
4696,1,5,1,8,4,1
4411,8,4,5,3,4,3
13,0,4,0,1,3,1
4337,6,7,4,6,5,2
4089,0,1,2,3,2,1
2824,7,0,1,4,3,1
1369,5,4,1,5,4,1
4660,0,5,2,0,0,1
2945,7,3,2,2,0,0
3411,5,5,1,7,6,1
91,3,2,3,5,3,2
5486,3,5,5,5,8,7
5051,6,3,1,6,0,1
5574,5,3,4,5,4,1
3499,8,6,3,8,2,1
4604,6,4,3,6,1,3
2823,4,3,1,3,0,1
1966,3,2,1,3,2,1
4130,6,1,4,4,0,1
205,0,1,3,0,0,3
1104,6,7,4,3,4,7
1955,5,2,5,4,5,6
1585,9,3,3,9,7,3
3943,0,1,1,2,3,1
5507,4,0,4,5,2,5
5121,6,0,3,7,0,2
3069,4,1,2,1,2,3
5509,8,4,2,7,1,2
4661,5,3,0,3,0,4
1129,4,2,2,6,3,1
1795,7,7,1,6,6,1
3893,6,3,4,7,2,1
3548,8,5,2,7,2,1
4798,2,6,2,7,3,2
4497,7,1,2,6,1,2
729,6,5,4,4,4,4
5675,3,5,2,4,4,0
2209,7,0,5,0,2,1
201,4,0,1,4,1,2
4029,7,2,1,6,1,0
3043,1,4,3,1,3,5
2317,3,3,1,4,1,1
5982,4,0,3,3,1,3
4911,6,2,2,5,2,3
3342,0,0,1,0,0,1
4551,5,0,1,7,2,4
1485,0,5,0,3,1,4
5846,0,2,5,3,0,2
3323,7,0,2,2,4,1
1016,8,2,1,8,3,1
5821,6,3,5,1,5,4
2343,0,3,0,4,6,1
5844,3,5,1,1,4,1
719,6,6,1,5,3,1
3820,7,3,2,2,2,1
4433,0,2,4,5,2,6
878,5,4,3,5,4,2
3124,2,0,5,3,1,4
4887,4,2,2,4,2,1
3993,2,1,1,2,0,1
2264,7,7,1,5,5,1
2811,5,2,1,4,1,2
4283,4,1,0,0,1,0
379,2,0,2,0,0,1
2540,2,0,0,6,0,1
1064,5,2,1,6,3,1
1180,6,1,7,7,2,6
2062,6,2,1,0,2,2
5932,7,5,4,4,3,2
4160,2,1,0,2,1,1
3928,2,0,1,1,1,1
5958,0,1,1,1,5,3
520,8,3,1,8,2,1
1367,7,0,1,8,1,1
1152,5,0,1,5,0,1
2027,6,3,1,5,4,1
647,7,3,2,6,5,2
1495,2,4,0,2,0,1
3134,7,3,3,6,5,2
5258,5,2,2,4,0,3
5618,1,2,1,3,1,1
592,0,3,2,0,3,0
391,8,4,4,10,5,3
5794,3,3,3,4,4,2
4514,5,2,5,2,0,5
288,3,1,5,0,1,4
4474,2,2,3,1,3,2
5892,5,1,1,0,0,1
1513,3,0,0,4,3,4
4326,4,2,1,5,5,1
5113,3,3,2,7,5,3
2088,4,5,2,6,4,4
1051,5,1,1,7,2,3
134,7,6,2,9,4,2
200,6,4,1,6,4,1
5959,3,1,2,2,1,2
4875,3,0,1,4,1,2
2977,5,4,3,6,4,1
3104,1,2,2,2,1,2
3119,0,1,4,0,0,5
4598,6,5,2,6,4,2
2454,4,2,2,2,3,1
5693,0,4,4,3,2,2
3799,0,2,4,2,0,0
2852,0,0,1,2,1,1
4194,6,2,1,8,2,4
683,7,6,5,3,5,1
5991,8,6,2,4,5,2
2773,1,2,2,5,0,1
4058,9,4,1,5,4,1
3618,7,4,2,5,3,1
960,6,3,1,6,4,1
1762,5,2,3,2,2,2
2660,2,3,2,4,0,3
6062,8,7,5,6,3,2
4738,8,5,4,3,3,3
1792,9,0,2,8,0,2
3076,1,0,2,0,1,0
1241,9,5,1,8,4,1
2550,3,2,1,1,1,1
766,3,2,4,4,2,4
4493,5,3,1,6,1,1
870,6,6,2,5,2,2
794,5,0,0,0,2,1
4488,2,2,1,6,4,1
2254,5,0,4,3,2,3
5134,3,0,1,5,1,2
1881,4,0,3,1,0,2
1577,0,3,2,6,6,3
2939,6,0,1,2,2,1
3532,4,0,1,6,2,1
5810,1,2,0,4,0,1
3646,0,2,2,2,4,3
863,2,1,2,1,1,1
742,4,2,4,2,3,6
5360,5,0,1,3,6,1
4659,1,0,5,0,3,5
1020,8,3,6,6,2,3
4191,6,5,1,6,6,1
6019,8,4,2,7,3,2
5853,2,2,2,3,0,2
4580,2,3,1,3,1,1
5526,5,1,2,2,0,3
2278,3,1,1,1,2,0
2796,7,3,3,7,4,3
1678,1,3,3,6,2,5
3242,6,1,1,4,1,4
540,1,0,1,1,0,1
3107,8,3,1,3,4,1
2572,9,4,1,10,6,2
5279,0,3,3,0,0,0
1862,2,3,1,6,4,2
5818,3,2,2,3,2,1
5362,3,1,3,4,2,4
5205,8,2,3,7,4,2
3867,3,2,3,2,2,3
4673,8,2,1,6,3,1
681,0,2,1,0,2,0
556,1,3,1,1,4,2
1976,5,0,2,6,1,1
5108,1,4,1,2,1,1
645,6,5,6,5,3,1
4891,5,3,6,1,0,6
3099,7,3,2,6,3,2
5739,4,4,3,6,5,3
5917,2,4,1,1,3,2
3402,7,4,1,5,4,2
3711,6,2,7,5,3,4
3577,6,5,0,2,2,0
4086,8,4,1,9,6,1
1371,6,2,3,5,0,4
1496,9,2,1,9,5,2
3302,1,0,1,4,1,3
5344,7,3,4,5,6,4
1408,4,3,1,1,3,0
1400,2,2,5,2,0,5
1306,0,0,1,0,0,1
6077,6,1,4,2,1,0
4728,4,5,1,5,5,1
4723,8,5,5,8,2,2
3020,6,1,2,9,1,2
1768,2,3,0,1,0,0
3330,3,1,2,4,0,4
5478,5,2,1,5,0,1
4805,0,3,3,0,2,3
1479,2,4,1,3,2,1
3482,7,4,3,3,5,0
2696,5,3,2,1,1,2
4413,10,5,1,8,3,1
3748,3,1,3,5,1,3
5938,10,2,1,8,6,1
5353,4,2,1,1,0,3
663,5,0,1,3,2,3
4046,7,0,2,4,5,1
5946,5,4,1,6,4,3
1397,1,0,2,1,0,0
1695,7,3,1,6,5,1
5727,4,1,4,0,4,3
3543,6,2,1,6,3,1
5352,8,6,4,6,3,1
5811,7,4,1,7,7,1
3184,6,1,2,3,0,1
5949,3,6,2,0,0,3
5616,7,3,2,8,0,2
4537,1,0,3,1,2,5
2611,7,4,2,5,3,2
5387,0,2,2,0,1,2
3581,4,0,2,2,0,1
5926,7,3,4,9,4,2
5505,5,3,4,1,1,4
1410,4,2,3,5,1,4
1136,6,3,1,6,3,1
1636,3,5,6,2,4,4
5744,7,0,3,4,1,1
951,3,2,1,3,2,3
5200,7,1,1,5,0,1
2746,6,6,5,6,2,3
2160,8,4,2,6,3,3
2049,7,4,3,5,5,2
641,4,1,1,3,4,1
4315,4,0,1,3,1,1
1589,6,3,2,3,1,2
854,2,0,1,2,4,1
6116,7,3,4,2,1,5
1759,5,0,1,5,0,1
4480,3,6,2,4,0,2
5522,6,1,3,5,4,1
3709,6,7,2,7,6,2
5249,3,3,1,0,2,2
1076,6,6,1,7,7,1
1707,2,1,3,2,0,0
3743,6,2,4,2,1,2
1733,3,3,2,3,3,1
5535,2,3,2,4,3,1
246,4,2,3,4,0,1
4931,3,1,0,0,1,2
3510,5,4,1,6,2,2
4298,8,4,1,6,5,1
1207,2,3,5,4,0,5
4218,0,0,0,0,1,2
400,8,4,1,9,6,2
2341,6,2,1,7,3,1
279,0,0,3,2,1,4
5956,3,2,3,5,0,4
4979,9,0,3,9,5,4
3681,7,2,2,7,6,2
2245,5,3,0,2,4,3
3029,0,0,4,2,1,3
3978,5,3,5,4,4,4
1534,0,0,2,4,0,1
