feature_base,shared_fwd_top_logits,shared_fwd_bottom_logits,shared_fwd_max_toks,shared_bwd_top_logits,shared_bwd_bottom_logits,shared_bwd_max_toks
3174,0,1,2,3,2,2
5555,6,3,4,6,0,1
2908,2,3,3,1,5,1
1294,0,2,2,6,1,2
5226,8,2,4,9,3,3
3143,1,0,1,1,4,1
3772,6,1,5,5,0,4
3092,0,2,0,0,2,0
5734,1,2,2,0,0,0
4217,5,5,2,7,4,2
466,6,2,1,6,6,2
3286,8,0,2,9,0,2
2378,10,2,2,5,4,1
1482,8,4,2,7,2,3
87,8,0,2,8,4,3
1396,4,2,3,5,5,3
5219,9,4,7,10,3,5
871,0,7,1,3,2,3
3735,6,0,5,7,0,2
130,3,3,1,2,1,1
3733,9,5,1,7,3,1
3380,5,4,7,7,5,5
769,6,4,3,3,1,3
4439,5,0,2,7,5,2
3563,1,2,2,1,3,2
5533,7,5,6,4,2,5
4901,7,1,2,6,6,4
2433,4,4,5,6,0,8
5311,5,4,3,6,4,3
955,6,0,0,9,3,5
276,5,4,2,5,4,2
5280,6,1,3,7,3,3
4555,8,2,2,3,0,2
3385,6,1,4,8,2,3
2069,5,3,2,8,6,1
4348,1,0,1,2,0,2
2795,6,3,3,7,2,2
4952,0,0,2,5,1,1
5680,6,4,2,9,6,2
474,8,1,3,6,2,3
1082,8,4,3,7,3,3
510,2,0,0,5,0,1
1705,5,7,3,4,4,1
4095,8,0,6,5,2,4
5595,0,4,1,1,1,0
2747,7,3,1,6,1,1
3023,3,7,2,1,4,2
5902,8,0,1,6,2,1
189,8,3,1,6,3,2
3005,4,4,3,4,5,3
4782,8,2,5,5,4,6
957,3,2,1,1,4,0
562,5,0,1,3,4,2
1899,3,3,4,4,1,3
5686,0,0,1,1,3,1
1267,6,3,1,3,1,2
4927,8,4,1,7,2,2
5624,6,0,1,5,2,1
1154,6,1,5,7,3,7
5604,3,1,2,4,2,2
3890,1,1,7,1,1,5
2694,9,3,2,3,0,1
20,8,5,5,8,4,3
4936,6,2,2,5,0,1
2214,6,1,4,8,6,3
5393,1,2,2,0,2,0
387,3,4,2,5,2,5
4696,8,3,3,8,7,4
4411,3,8,1,3,7,2
13,7,0,2,8,2,4
4337,3,0,2,8,3,1
4089,8,1,1,8,4,0
2824,9,7,5,8,1,1
1369,0,1,2,1,2,2
4660,0,0,2,0,1,2
2945,6,5,1,5,6,3
3411,0,1,6,4,3,5
91,7,0,3,6,2,3
5486,5,2,3,4,2,1
5051,1,0,0,0,4,2
5574,4,0,3,2,0,2
3499,2,3,5,6,5,3
4604,7,5,2,8,1,6
2823,1,1,2,7,2,2
1966,8,3,4,9,1,4
4130,7,1,3,8,2,2
205,4,8,2,4,5,1
1104,2,0,2,2,1,0
1955,1,0,1,2,0,0
1585,0,0,0,0,0,1
3943,3,1,2,5,1,3
5507,0,0,1,0,0,1
5121,8,5,2,7,1,2
3069,3,2,3,2,0,3
5509,4,5,3,5,0,2
4661,2,2,1,6,3,1
1129,7,0,1,5,2,1
1795,1,0,1,3,2,1
3893,9,2,2,6,3,2
3548,3,2,2,2,0,1
4798,7,4,2,7,5,3
4497,8,2,3,7,0,3
729,0,0,1,2,0,3
5675,4,4,1,4,5,1
2209,5,6,3,6,3,2
201,1,2,1,4,2,1
4029,0,1,5,1,4,3
3043,7,3,3,9,5,1
2317,5,0,0,5,4,3
5982,4,2,1,1,1,1
4911,9,5,5,10,4,3
3342,1,4,0,3,5,4
4551,4,0,8,1,0,6
1485,3,5,1,0,3,1
5846,6,6,4,7,6,4
3323,5,2,1,0,3,1
1016,6,3,1,4,3,1
5821,5,2,4,6,5,3
2343,10,2,5,6,1,3
5844,6,0,3,2,3,4
719,6,3,6,7,2,6
3820,6,4,4,9,5,3
4433,9,0,6,9,0,4
878,3,2,1,4,0,1
3124,7,0,1,8,2,1
4887,5,8,2,7,7,2
3993,7,6,5,7,7,5
2264,8,5,3,7,3,1
2811,5,5,3,3,5,2
4283,8,3,4,8,5,4
379,7,0,3,4,1,3
2540,1,3,1,2,6,1
1064,2,1,0,1,0,1
1180,1,2,1,3,0,1
2062,2,4,5,5,1,6
5932,8,2,1,7,2,1
4160,7,0,1,5,1,1
3928,7,3,2,1,2,2
5958,9,1,6,9,1,2
520,5,1,2,7,3,1
1367,6,4,3,0,3,3
1152,6,2,2,1,5,1
2027,7,3,6,7,0,5
647,4,6,3,6,5,3
1495,3,1,1,3,2,3
