feature_base,shared_fwd_top_logits,shared_fwd_bottom_logits,shared_fwd_max_toks,shared_bwd_top_logits,shared_bwd_bottom_logits,shared_bwd_max_toks
3174,1,7,6,4,5,1
5555,8,2,3,4,2,2
2908,7,4,2,8,5,2
1294,7,7,2,8,4,3
5226,5,0,2,6,0,1
3143,4,4,2,1,5,2
3772,3,0,1,1,3,1
3092,10,5,1,9,4,1
5734,4,2,3,4,3,4
4217,8,8,1,9,7,1
466,6,3,1,8,4,1
3286,0,0,2,0,0,1
2378,0,2,0,2,4,0
1482,5,7,1,7,4,1
87,6,2,3,5,0,0
1396,5,6,4,5,3,6
5219,4,4,1,1,0,0
871,2,2,1,6,2,1
3735,2,0,3,6,6,2
130,7,7,2,8,8,1
3733,2,2,1,1,0,1
3380,8,4,1,5,6,1
769,4,6,4,8,8,2
4439,2,2,1,0,0,0
3563,6,4,2,1,2,2
5533,7,1,1,3,3,1
4901,6,5,2,9,9,2
2433,2,5,1,0,0,1
5311,4,5,4,7,5,5
955,8,4,1,9,4,1
276,7,1,3,5,1,2
5280,4,2,1,1,1,1
4555,8,5,1,6,2,1
3385,9,6,1,9,4,1
2069,7,9,1,4,8,0
4348,3,0,2,4,4,0
2795,4,3,5,2,0,0
4952,6,5,2,0,2,3
5680,0,4,7,4,4,5
474,8,7,3,9,4,5
1082,1,1,3,0,2,1
510,2,2,1,3,4,1
1705,9,0,5,7,3,2
4095,6,1,1,5,1,1
5595,1,1,2,1,1,1
2747,5,1,3,4,2,1
3023,0,4,2,2,5,3
5902,1,3,1,1,2,0
189,5,1,3,1,2,3
3005,5,4,1,5,4,1
4782,9,5,2,7,7,2
957,8,4,5,6,5,2
562,5,5,1,7,4,1
1899,3,4,1,2,2,2
5686,7,2,3,6,5,2
1267,4,1,1,2,0,1
4927,5,5,1,6,3,1
5624,8,5,1,7,7,1
1154,3,2,0,2,0,3
5604,8,6,1,7,8,2
3890,3,3,4,0,0,0
2694,4,3,2,6,2,1
20,2,3,2,1,2,1
4936,8,5,1,10,7,1
2214,3,6,1,1,4,1
5393,3,2,1,1,0,3
387,0,2,2,4,0,1
4696,7,9,3,6,7,3
4411,6,4,3,4,0,1
13,9,8,1,8,5,1
4337,8,6,2,7,4,2
4089,7,2,1,5,6,1
2824,5,4,2,2,0,1
1369,1,4,0,5,1,0
4660,0,3,1,6,4,1
2945,8,7,2,6,7,2
3411,2,1,0,0,0,0
91,2,1,0,3,1,2
5486,5,1,1,9,3,1
5051,4,2,2,6,5,1
5574,5,4,3,2,1,2
3499,7,5,4,7,4,3
4604,9,4,5,5,2,5
2823,4,1,5,5,0,4
1966,5,5,3,6,3,1
4130,5,5,2,8,5,1
205,6,5,3,5,6,3
1104,2,3,3,2,0,4
1955,7,4,1,6,8,1
1585,3,1,2,4,1,2
3943,8,4,1,4,7,1
5507,1,0,1,0,0,1
5121,2,1,2,2,2,3
3069,0,0,0,1,0,0
5509,2,2,3,8,5,4
4661,5,2,5,1,2,3
