feature_base,shared_fwd_top_logits,shared_fwd_bottom_logits,shared_fwd_max_toks,shared_bwd_top_logits,shared_bwd_bottom_logits,shared_bwd_max_toks
3174,5,2,4,3,3,2
5555,2,2,1,4,1,1
2908,6,2,2,6,7,2
1294,9,5,4,9,4,3
5226,4,6,4,4,7,5
3143,1,1,2,1,0,2
3772,2,3,4,2,3,3
3092,8,5,2,9,3,4
5734,6,4,3,8,5,4
4217,1,1,1,2,1,1
466,6,2,4,9,4,2
3286,10,8,4,9,4,5
2378,4,2,4,3,0,3
1482,7,5,4,7,4,4
87,7,3,1,3,2,2
1396,5,3,1,8,1,1
5219,0,0,0,9,10,1
871,7,4,5,6,6,5
3735,7,4,4,4,1,3
130,9,1,4,8,0,3
3733,8,3,2,5,1,2
3380,0,1,0,0,0,0
769,8,1,7,7,3,6
4439,5,1,2,3,0,2
3563,8,1,1,0,2,1
5533,7,2,4,8,3,1
4901,0,0,0,2,1,0
2433,1,1,2,3,2,1
5311,2,0,4,1,3,3
955,2,6,2,5,5,2
276,6,3,3,4,6,5
5280,2,2,1,0,1,1
4555,7,3,4,3,4,3
3385,5,3,1,3,2,1
2069,5,4,3,8,4,2
4348,7,6,1,7,3,1
2795,6,0,2,1,1,0
4952,7,0,5,5,3,3
5680,9,4,3,8,1,3
474,4,2,1,6,4,1
1082,4,0,0,2,0,2
510,7,2,2,8,3,2
1705,4,0,2,4,0,1
4095,6,0,4,7,1,2
5595,4,4,3,4,2,1
2747,1,1,6,1,1,5
3023,7,0,1,4,1,1
5902,6,1,2,4,1,1
189,9,3,3,8,2,3
3005,4,2,1,5,2,1
4782,5,2,7,5,2,4
957,0,5,2,7,4,3
562,5,5,3,6,6,3
1899,2,0,0,1,0,0
5686,8,3,2,5,2,2
1267,4,3,4,5,1,4
4927,1,0,0,9,7,0
5624,6,1,8,1,0,6
1154,4,3,2,2,3,2
5604,5,4,1,3,5,2
3890,8,7,4,7,4,0
2694,9,2,2,5,1,1
20,5,1,3,0,6,1
4936,6,5,2,8,6,3
2214,6,2,1,4,7,1
5393,5,4,2,6,3,2
387,8,2,8,7,4,5
4696,0,3,4,4,2,0
4411,5,2,2,7,5,1
13,2,4,0,6,5,3
4337,3,0,0,5,4,1
4089,0,1,1,1,3,1
2824,1,0,2,3,0,3
1369,0,0,0,3,0,3
4660,4,1,2,5,0,1
2945,8,5,4,8,6,6
3411,9,3,3,9,1,2
91,5,4,4,5,3,5
5486,1,2,2,3,2,2
5051,0,3,5,5,6,4
5574,7,0,3,5,4,3
3499,4,4,3,5,6,3
4604,2,4,1,2,0,1
2823,4,2,1,6,2,1
1966,7,5,2,7,2,2
4130,4,1,1,2,2,1
205,4,0,0,3,0,2
1104,4,0,2,4,0,2
1955,5,0,1,8,1,3
1585,5,3,1,6,4,2
3943,3,2,1,1,1,0
5507,10,9,1,9,9,1
5121,8,2,2,6,1,2
3069,5,0,1,2,3,1
5509,4,3,4,5,3,3
4661,2,2,7,4,1,6
1129,7,1,3,7,2,1
1795,0,2,2,1,0,2
3893,1,3,1,2,4,1
3548,0,2,2,2,1,1
4798,5,3,0,10,4,2
4497,7,2,2,6,8,2
729,5,5,6,5,4,0
5675,9,3,6,8,3,5
2209,8,4,3,9,6,3
201,3,3,3,4,2,3
4029,0,3,0,0,0,0
3043,7,4,1,6,0,2
2317,6,2,2,4,5,3
5982,5,4,4,6,1,4
4911,4,1,7,6,0,3
3342,0,0,0,4,0,1
4551,9,4,5,10,1,5
1485,9,4,5,8,1,3
5846,4,0,3,5,2,4
3323,3,2,1,3,1,1
1016,8,2,2,7,2,2
5821,1,3,0,1,5,0
2343,8,4,2,5,0,3
5844,7,3,3,7,1,2
719,4,0,5,6,1,5
3820,5,1,1,2,3,1
4433,7,2,2,7,1,2
878,3,2,3,4,4,2
3124,4,4,2,4,3,3
4887,4,2,1,4,2,1
3993,1,3,0,1,2,0
2264,6,4,3,7,2,3
2811,8,4,2,4,7,3
4283,6,1,3,5,6,3
379,4,3,2,0,3,0
2540,6,2,1,4,1,2
1064,7,6,3,6,4,3
1180,1,3,2,4,2,2
2062,4,0,3,2,1,2
5932,3,1,3,3,1,4
4160,2,2,1,1,5,2
3928,6,0,6,4,3,2
5958,7,3,3,4,1,1
520,3,0,1,7,3,1
1367,2,0,3,2,1,1
1152,7,2,3,7,2,4
2027,1,3,3,3,4,2
647,5,3,1,6,0,1
1495,6,4,3,3,0,2
3134,7,0,3,2,0,4
5258,7,4,4,8,6,3
5618,4,0,2,7,1,1
592,1,4,2,5,0,2
391,0,0,2,3,5,6
5794,7,4,2,4,3,1
4514,6,4,1,3,3,1
288,2,1,0,3,2,2
4474,2,3,3,6,5,6
5892,9,1,2,8,1,2
1513,8,0,2,6,3,2
4326,5,0,0,4,0,2
5113,6,2,1,4,3,1
2088,6,7,6,7,7,6
1051,2,5,2,1,6,0
134,6,7,3,0,6,2
200,7,4,4,3,6,4
5959,3,2,2,5,2,2
4875,3,3,0,2,6,1
2977,7,3,2,6,6,2
3104,6,1,3,4,1,3
3119,7,3,4,4,2,4
4598,3,4,2,2,4,1
2454,5,1,1,4,0,1
5693,5,1,2,0,2,2
3799,1,4,7,4,5,7
2852,6,3,4,9,4,4
4194,6,2,2,5,2,3
683,10,4,2,8,1,2
5991,0,2,1,0,1,0
2773,8,4,4,8,2,1
4058,6,0,4,1,1,1
3618,1,6,0,3,7,0
960,7,5,5,5,1,3
1762,8,1,5,6,1,4
2660,2,2,6,5,1,7
6062,6,3,1,1,1,1
4738,2,5,3,0,2,1
1792,3,1,1,7,4,1
3076,7,5,1,7,6,1
1241,3,1,2,6,1,3
2550,5,0,0,0,1,0
766,0,2,0,2,2,2
4493,3,2,0,2,2,1
870,7,2,3,7,2,3
794,2,2,1,2,1,1
4488,0,1,1,2,2,2
2254,5,2,4,4,4,4
5134,7,2,2,2,3,2
1881,1,2,1,0,1,0
1577,7,5,2,7,6,3
2939,2,1,2,1,1,2
3532,2,2,1,7,0,1
5810,0,0,0,10,8,1
3646,2,5,1,4,2,1
863,5,3,3,6,0,4
742,5,2,1,4,1,2
5360,9,8,0,0,0,0
4659,7,4,2,6,2,1
1020,7,2,2,7,0,3
4191,8,7,7,9,2,5
6019,5,5,1,6,6,1
5853,4,3,4,4,5,1
4580,8,7,5,8,8,4
5526,6,5,4,6,1,2
2278,3,3,1,2,2,1
2796,3,4,2,7,5,2
1678,5,1,2,4,0,2
3242,2,1,3,0,1,1
540,7,1,1,7,5,1
3107,1,0,4,4,2,4
2572,1,0,4,0,0,5
5279,4,2,2,1,3,4
1862,5,5,4,4,3,2
5818,2,2,1,1,1,0
5362,5,4,3,8,9,3
5205,3,2,3,7,2,2
3867,9,5,4,7,0,4
4673,2,5,2,4,6,2
681,5,6,1,4,6,1
556,9,3,3,9,3,6
1976,3,0,2,3,1,2
5108,2,3,2,5,1,4
645,3,2,4,5,2,4
4891,7,4,2,5,2,2
3099,0,0,2,3,1,0
5739,4,2,3,3,2,2
5917,6,2,1,7,1,1
3402,4,3,4,5,1,2
3711,6,1,2,7,1,5
3577,2,1,2,3,1,2
4086,3,6,7,2,3,5
1371,6,3,1,5,3,1
1496,4,4,1,3,2,2
3302,0,5,4,1,6,3
5344,7,5,2,8,6,1
1408,9,1,5,9,2,5
1400,6,7,2,4,8,2
1306,4,3,3,6,2,2
6077,8,9,1,0,0,0
4728,0,0,0,9,9,0
4723,8,1,6,8,3,5
3020,9,3,3,8,0,3
1768,5,1,4,7,4,2
3330,7,4,2,7,0,1
5478,5,3,4,0,1,3
4805,8,3,6,6,7,5
1479,1,3,6,4,2,6
3482,6,5,5,8,4,6
2696,1,3,1,4,2,2
4413,1,2,4,0,0,1
3748,7,3,2,8,5,5
5938,4,0,0,0,0,0
5353,8,5,1,7,4,2
663,7,6,1,6,5,1
4046,0,2,1,4,0,3
5946,3,5,4,4,2,3
1397,5,1,0,6,0,1
1695,4,1,1,3,4,2
5727,2,1,2,5,0,2
3543,5,5,2,5,0,2
5352,0,2,2,0,0,1
5811,7,3,5,6,3,8
3184,0,1,0,2,1,1
5949,6,1,4,5,3,2
5616,2,4,4,1,4,1
4537,7,1,1,6,3,1
2611,5,6,3,4,7,3
5387,2,3,2,3,1,3
3581,8,4,5,5,2,7
5926,0,0,1,1,2,2
5505,7,4,1,6,1,1
1410,8,5,1,4,0,1
1136,8,7,4,8,4,5
1636,4,2,2,4,1,2
5744,7,2,3,7,5,5
951,5,4,3,6,6,5
5200,7,3,1,5,3,1
2746,3,3,5,6,3,3
2160,4,2,5,3,1,2
2049,8,1,2,4,4,2
641,7,2,3,8,0,6
4315,7,4,1,5,1,1
1589,2,0,2,5,0,3
854,5,4,1,4,2,1
6116,10,3,2,9,8,4
1759,1,1,1,0,0,2
4480,5,3,1,4,6,1
5522,9,2,4,7,4,3
3709,3,2,1,3,2,1
5249,8,1,3,8,1,4
1076,5,5,1,0,0,0
1707,4,2,3,1,0,4
3743,9,5,2,7,8,5
1733,0,0,5,1,5,7
5535,5,1,3,2,3,4
246,6,4,2,2,0,1
4931,6,1,3,6,1,3
3510,5,3,1,5,5,1
4298,5,2,3,0,5,2
1207,2,3,3,3,3,5
4218,3,3,2,2,6,4
400,4,5,3,2,4,3
2341,0,1,2,3,4,3
279,4,5,3,4,7,2
5956,6,5,3,7,7,2
4979,8,4,2,7,3,2
3681,9,2,0,7,2,2
2245,8,3,2,7,5,2
3029,9,4,2,8,5,5
3978,5,1,1,5,3,0
1534,5,1,1,5,0,1
751,8,1,1,9,4,1
4239,7,0,0,7,0,3
4704,2,7,2,4,5,5
1224,3,1,2,2,1,2
3195,2,2,7,5,0,7
4282,1,4,1,6,6,1
5445,8,2,1,8,6,1
2511,0,5,0,0,3,0
5468,8,7,2,7,8,2
1794,1,0,0,0,2,0
659,3,1,1,6,6,1
4859,5,1,2,7,3,6
5050,4,5,3,7,1,3
4003,5,6,1,5,6,2
4498,1,6,1,2,2,1
3417,4,4,4,1,8,3
6082,7,7,5,7,8,4
146,5,3,2,5,2,2
1171,0,4,3,4,5,5
2911,3,1,1,8,3,1
1734,8,6,4,8,6,5
5939,1,1,3,4,1,3
2536,7,3,4,4,0,4
2976,5,3,4,8,6,4
6055,6,0,1,8,0,1
2598,2,4,2,0,0,2
4967,9,6,6,9,7,5
640,8,5,2,3,1,2
3850,3,1,0,0,0,0
4059,9,5,1,9,2,1
4568,6,0,5,6,6,5
4017,7,5,1,4,3,1
4246,7,0,2,5,4,0
3486,5,5,4,2,3,1
4061,5,1,1,6,1,4
3369,5,2,1,6,1,1
1634,1,2,0,0,0,0
262,2,3,2,3,4,2
1787,0,0,0,3,1,1
2191,1,4,3,1,1,3
4441,8,0,1,1,0,1
2671,3,0,0,0,0,1
3064,9,4,4,8,4,3
4083,0,1,1,4,2,0
3643,2,1,1,3,1,1
4976,7,4,1,4,5,1
1,1,1,2,3,1,1
4992,9,2,2,8,3,2
3375,5,3,1,0,2,1
253,6,2,2,4,5,5
1675,6,4,2,3,2,2
2500,6,3,3,3,3,4
5156,0,4,1,2,0,3
3231,2,2,2,4,1,2
6138,3,3,2,1,3,1
5110,2,1,2,4,5,2
8,5,0,1,3,1,1
1256,4,2,1,4,2,1
1122,3,2,4,6,2,3
3730,4,1,3,2,3,1
207,6,6,1,5,0,3
3202,6,1,1,2,1,0
403,6,1,2,5,2,2
2199,1,2,1,4,1,1
4149,3,3,1,4,3,1
3191,8,5,1,6,5,1
