feature_base,shared_fwd_top_logits,shared_fwd_bottom_logits,shared_fwd_max_toks,shared_bwd_top_logits,shared_bwd_bottom_logits,shared_bwd_max_toks
2278,9,0,2,10,5,2
2796,0,2,4,8,3,5
1678,6,3,4,3,0,6
3242,0,7,1,3,2,2
540,9,0,3,8,0,3
3107,7,4,8,0,4,8
2572,6,0,2,4,4,2
5279,8,0,2,9,1,2
1862,6,0,3,2,0,3
5818,0,5,0,1,1,2
5362,7,0,6,7,0,2
5205,6,2,3,8,6,3
3867,0,2,4,7,4,3
4673,5,0,5,5,3,6
681,4,0,1,6,6,1
556,10,0,4,9,7,3
1976,8,0,6,9,1,6
5108,8,7,3,9,7,2
645,9,0,4,6,0,4
4891,7,0,2,2,1,1
3099,6,0,7,6,2,5
5739,9,0,2,5,4,2
5917,7,6,5,8,4,3
3402,7,2,2,4,4,1
3711,1,0,0,1,0,1
3577,7,0,4,8,3,1
4086,7,0,4,7,0,5
1371,4,0,3,1,4,2
1496,7,0,3,9,0,2
3302,6,0,1,6,1,1
5344,8,0,3,7,1,3
1408,7,0,1,8,2,1
1400,8,5,3,4,6,3
1306,2,0,2,4,3,1
6077,6,1,5,4,1,5
4728,8,0,9,8,5,5
4723,0,0,0,0,4,4
3020,9,7,1,7,2,1
1768,5,3,5,4,1,2
3330,1,0,1,6,2,1
5478,5,0,1,2,1,1
4805,0,8,3,0,0,1
1479,0,4,1,3,5,1
3482,2,3,3,1,0,3
2696,5,0,4,6,6,3
4413,9,0,4,7,3,6
3748,7,0,4,8,5,5
5938,0,0,1,0,5,0
5353,7,1,5,5,3,4
663,10,0,4,6,6,1
4046,0,2,1,7,0,1
5946,4,0,5,3,1,4
1397,7,5,5,6,1,5
1695,9,9,4,0,0,1
5727,7,0,1,6,3,1
3543,7,0,5,3,2,3
5352,9,0,7,6,1,2
5811,8,2,2,6,0,2
3184,7,5,4,6,4,1
5949,0,0,5,0,0,5
5616,2,0,1,4,1,1
4537,0,3,1,9,3,1
2611,8,0,4,4,1,2
5387,0,8,1,7,0,1
3581,8,5,2,8,4,2
5926,8,3,5,6,3,3
5505,0,3,0,9,7,3
1410,2,0,4,1,2,4
1136,5,0,1,5,4,2
1636,10,0,3,9,5,3
5744,8,5,6,6,3,4
951,5,0,4,3,2,1
5200,2,2,1,0,1,1
2746,6,3,1,6,1,1
2160,6,5,3,8,2,3
2049,10,5,4,8,1,6
641,5,0,4,7,2,3
4315,7,0,3,6,2,1
1589,0,0,0,0,0,1
854,0,0,0,0,1,0
6116,7,0,4,8,2,2
1759,10,3,4,9,5,4
4480,1,5,2,1,1,0
5522,9,4,2,8,5,1
3709,5,0,3,8,8,2
5249,8,0,5,6,1,3
1076,7,0,7,8,2,5
1707,3,0,5,4,2,1
3743,8,0,6,5,2,4
1733,8,0,3,5,2,3
5535,6,1,5,7,4,4
246,2,4,1,2,0,1
4931,7,1,5,4,1,4
3510,6,0,2,5,4,1
4298,0,1,1,2,1,1
1207,0,0,2,3,5,1
4218,0,1,1,1,1,1
400,7,0,4,4,1,4
2341,7,1,1,6,1,1
279,2,0,1,0,0,0
5956,9,6,4,9,5,5
4979,2,4,2,3,3,0
3681,0,3,5,2,1,2
2245,7,0,2,8,5,2
3029,0,0,0,0,0,1
3978,5,0,1,5,3,0
1534,3,0,1,4,2,1
751,7,4,1,7,6,1
4239,5,0,5,5,3,3
4704,7,0,6,4,2,2
1224,9,0,2,7,0,3
3195,8,5,5,7,6,0
4282,1,5,0,0,0,0
5445,6,0,3,9,3,5
2511,1,0,3,3,1,3
5468,8,0,3,7,5,2
1794,4,4,2,0,2,1
659,6,0,2,6,1,2
4859,8,0,7,8,2,3
5050,6,0,2,8,4,2
4003,6,0,2,5,1,1
4498,7,0,4,1,0,3
3417,7,0,3,8,7,3
6082,9,3,5,0,1,3
146,7,1,4,6,0,4
1171,1,0,1,7,2,1
2911,7,0,4,6,5,2
1734,7,2,5,5,6,3
5939,2,4,0,1,0,0
2536,9,2,2,9,4,2
2976,5,0,3,5,2,1
6055,5,0,4,5,1,5
2598,7,0,6,8,2,5
4967,0,7,5,1,5,5
640,7,0,7,6,2,3
3850,6,1,1,5,0,1
4059,9,0,6,7,2,4
4568,0,1,2,6,3,2
4017,4,1,1,3,5,1
4246,1,1,2,3,0,3
3486,5,7,3,5,4,3
4061,9,6,3,9,0,2
3369,1,0,2,1,3,2
1634,1,2,1,0,2,1
262,2,0,0,0,1,1
1787,8,2,4,10,9,5
2191,6,0,8,1,0,4
4441,0,0,0,2,4,0
2671,8,0,2,8,6,2
3064,0,8,4,0,4,3
4083,6,0,3,6,4,5
3643,9,0,4,6,5,2
4976,2,0,1,5,0,1
1,6,6,3,2,0,3
4992,9,0,5,6,4,1
3375,8,0,1,6,0,1
253,2,0,0,6,3,2
1675,8,0,4,6,1,5
