feature_base,shared_fwd_top_logits,shared_fwd_bottom_logits,shared_fwd_max_toks,shared_bwd_top_logits,shared_bwd_bottom_logits,shared_bwd_max_toks
3174,1,5,1,4,4,1
5555,6,5,3,4,7,3
2908,5,2,1,5,6,1
1294,3,3,4,1,0,2
5226,5,3,2,6,4,1
3143,1,0,1,1,3,1
3772,6,4,1,6,5,1
3092,8,9,6,5,2,0
5734,1,3,2,4,4,2
4217,3,2,3,2,0,0
466,8,3,3,6,6,3
3286,4,1,1,2,2,1
2378,6,3,3,6,0,2
1482,6,5,2,8,7,1
87,2,0,1,1,4,1
1396,0,0,2,0,2,3
5219,8,5,4,2,1,3
871,6,6,1,4,6,3
3735,6,4,1,6,4,1
130,5,3,2,0,0,1
3733,3,2,4,3,0,3
3380,3,2,1,3,3,2
769,7,0,4,7,0,4
4439,3,6,3,4,3,5
3563,9,4,1,7,2,1
5533,3,2,1,4,4,2
4901,3,3,4,4,4,3
2433,5,2,7,3,1,4
5311,1,2,5,0,4,4
955,5,3,3,3,2,3
276,2,8,1,1,7,3
5280,2,2,1,0,4,1
4555,6,4,4,3,2,2
3385,2,2,1,3,0,5
2069,6,3,3,5,0,4
4348,7,4,1,7,5,1
2795,1,2,7,1,0,0
4952,2,3,3,5,1,3
5680,2,2,1,1,2,0
474,0,5,0,0,4,0
1082,0,2,4,1,1,1
510,5,1,5,5,5,2
1705,9,7,2,9,6,3
4095,0,4,4,4,3,6
5595,1,1,4,4,1,2
2747,3,1,1,1,0,1
3023,6,7,2,7,5,2
5902,1,1,2,2,0,2
189,3,3,2,5,4,2
3005,5,0,3,5,0,5
4782,5,2,2,0,2,1
957,5,2,1,5,3,1
562,6,7,2,6,5,1
1899,5,0,1,7,3,1
5686,7,3,1,7,5,1
1267,1,7,4,0,5,1
4927,7,3,1,7,4,1
5624,7,3,1,6,6,1
1154,2,2,4,0,0,2
5604,3,0,1,1,0,1
3890,4,1,5,3,0,1
2694,8,3,2,6,5,2
20,6,4,5,6,3,2
4936,5,3,2,3,2,2
2214,8,4,4,6,5,3
5393,5,2,6,4,1,2
387,2,4,5,1,3,5
4696,2,7,7,2,5,8
4411,5,3,1,4,5,1
13,6,2,4,4,0,5
4337,4,3,1,6,1,0
4089,1,1,1,6,2,1
2824,6,3,1,6,3,0
1369,7,4,2,7,4,3
4660,1,2,4,0,2,4
2945,5,1,2,3,0,5
3411,4,6,1,5,6,1
91,6,5,1,3,5,1
5486,6,5,1,2,3,1
5051,2,1,1,5,0,1
5574,5,6,1,2,7,1
3499,0,1,1,0,0,1
4604,6,1,2,5,4,2
2823,3,4,2,4,1,2
1966,7,7,2,8,8,0
4130,4,1,3,3,1,3
205,8,3,3,9,3,3
1104,5,1,2,4,4,2
1955,0,1,1,0,1,1
1585,1,4,0,4,4,2
3943,8,6,4,8,5,4
5507,5,0,1,4,1,1
5121,6,2,1,4,2,1
3069,5,2,1,5,2,1
5509,5,2,1,3,4,1
4661,2,2,2,3,4,1
1129,2,4,2,1,3,3
1795,4,6,4,8,5,5
3893,6,4,2,7,4,6
3548,6,3,3,6,8,1
4798,7,4,1,8,5,1
4497,5,7,6,5,6,4
729,4,0,0,0,0,1
5675,2,0,2,2,0,2
2209,3,4,2,3,7,2
201,6,4,2,5,7,1
4029,8,0,0,2,1,1
3043,6,2,3,7,1,3
2317,0,1,1,0,1,3
5982,6,4,1,4,5,1
4911,3,0,1,0,2,0
3342,9,1,3,1,0,0
4551,6,5,1,3,2,2
1485,5,2,3,3,4,5
5846,1,1,1,2,2,1
3323,7,1,1,6,0,1
1016,6,0,2,2,0,1
5821,3,3,1,6,1,1
2343,5,0,3,5,2,0
5844,2,4,4,2,4,2
719,0,0,1,3,3,1
3820,4,4,3,5,2,2
4433,6,5,2,6,4,2
878,4,2,5,4,5,4
3124,7,3,0,8,6,3
4887,4,6,2,5,4,2
3993,8,0,3,9,6,3
2264,4,4,1,1,4,0
2811,1,0,1,2,0,1
4283,5,3,0,0,0,2
379,6,5,6,3,4,4
2540,8,1,3,5,1,3
1064,0,0,1,2,1,1
1180,1,1,0,0,3,2
2062,2,0,1,2,0,1
5932,2,1,3,5,5,3
4160,3,2,1,0,4,1
3928,8,5,1,4,7,1
5958,0,0,6,2,0,4
520,6,3,3,8,5,7
1367,6,5,1,5,8,2
1152,8,6,2,8,4,1
2027,2,1,1,1,0,1
647,0,3,1,5,2,2
1495,1,4,6,2,4,2
3134,5,5,2,7,0,2
5258,6,6,1,1,6,1
5618,7,3,3,8,1,4
592,8,5,1,6,4,1
391,5,6,1,1,8,1
5794,5,5,1,6,7,1
4514,10,1,2,8,0,0
288,5,7,5,3,5,0
4474,1,1,1,4,2,1
5892,5,2,1,6,5,1
1513,7,3,1,6,3,1
4326,6,1,5,3,0,3
5113,1,0,0,3,2,2
2088,8,4,2,8,3,2
1051,0,3,3,0,2,1
134,4,2,1,5,3,2
200,2,0,1,1,0,1
5959,6,2,1,1,3,1
4875,1,4,5,2,2,4
2977,4,1,1,4,2,1
3104,5,2,3,3,0,2
3119,8,3,5,6,2,3
4598,4,3,3,2,0,1
2454,2,1,1,6,0,1
5693,6,3,1,4,0,1
3799,6,6,2,6,5,2
2852,3,3,1,4,0,3
4194,4,2,1,3,3,1
683,3,7,2,6,5,2
5991,2,2,3,2,1,0
2773,2,3,1,4,1,1
4058,1,4,2,2,6,2
3618,4,3,1,2,4,1
960,1,3,1,4,4,1
1762,1,1,2,2,0,3
2660,7,1,1,4,2,1
6062,7,1,2,5,6,2
4738,1,0,2,0,1,1
1792,2,0,2,0,3,0
3076,2,1,3,2,2,2
1241,0,3,5,0,3,5
2550,2,2,5,0,4,4
766,8,1,3,8,1,4
4493,0,2,1,0,2,1
870,2,0,1,1,1,1
794,3,2,1,4,5,1
4488,3,4,4,6,2,4
2254,2,2,3,6,2,6
5134,3,3,0,0,0,0
1881,3,3,3,2,5,3
1577,5,5,4,8,7,0
2939,4,2,1,7,3,1
3532,3,3,1,6,5,1
5810,2,4,1,2,1,0
3646,6,1,4,5,6,4
863,6,6,2,2,7,2
742,4,0,3,0,2,3
5360,7,5,3,7,4,2
4659,6,5,2,6,6,2
1020,5,3,1,7,2,1
4191,0,1,3,0,1,3
6019,0,5,2,0,2,4
5853,3,4,8,2,1,4
4580,1,0,1,0,1,0
5526,2,2,0,1,4,2
2278,9,2,2,9,4,2
2796,2,0,1,7,3,3
1678,2,1,1,3,4,2
