feature_base,shared_fwd_top_logits,shared_fwd_bottom_logits,shared_fwd_max_toks,shared_bwd_top_logits,shared_bwd_bottom_logits,shared_bwd_max_toks
3174,6,5,1,3,7,1
5555,3,1,4,0,0,1
2908,8,7,1,7,6,1
1294,0,0,0,4,2,2
5226,9,6,1,9,6,1
3143,3,0,1,1,0,1
3772,5,0,4,5,3,1
3092,4,3,1,4,3,1
5734,6,8,1,6,7,1
4217,2,2,0,0,1,0
466,6,3,1,5,3,1
3286,4,2,2,3,3,2
2378,1,0,1,0,0,1
1482,0,3,6,0,0,0
87,8,8,3,8,6,1
1396,4,1,2,2,1,0
5219,10,9,6,9,9,6
871,4,0,1,3,1,1
3735,3,1,1,2,0,2
130,3,2,3,5,3,1
3733,5,3,1,4,5,1
3380,9,4,2,9,6,4
769,2,2,2,1,1,2
4439,6,4,0,6,3,1
3563,8,6,1,7,4,1
5533,6,4,4,0,0,0
4901,9,8,1,9,8,1
2433,7,2,1,7,2,1
5311,4,8,2,2,0,2
955,0,2,0,0,0,0
276,3,1,1,4,1,1
5280,3,4,1,0,3,1
4555,5,3,1,3,3,1
3385,3,5,2,3,5,1
2069,0,2,0,0,0,0
4348,6,1,1,7,6,1
2795,1,3,1,0,7,0
4952,2,5,4,1,4,2
5680,10,4,1,7,4,1
474,2,7,1,6,7,1
1082,0,0,4,3,1,4
510,2,0,2,0,2,1
1705,5,4,1,3,6,1
4095,1,0,3,1,0,1
5595,2,2,3,0,2,1
2747,8,5,1,7,6,1
3023,1,5,4,1,0,0
5902,8,4,1,8,4,1
189,6,3,4,4,1,2
3005,8,4,1,8,5,1
4782,5,4,2,5,3,2
957,0,1,2,5,2,2
562,7,6,1,7,4,1
1899,9,9,1,0,0,0
5686,4,2,1,0,0,0
1267,9,9,1,9,8,1
4927,4,5,1,8,3,1
5624,5,5,1,6,4,2
1154,8,7,1,9,7,1
5604,4,2,1,5,7,1
3890,5,2,3,2,3,4
2694,5,8,2,6,6,2
20,7,4,1,8,5,1
4936,8,5,2,7,6,1
2214,2,6,1,2,6,1
5393,5,6,2,6,4,2
387,6,3,1,3,1,1
4696,5,3,3,5,6,2
4411,3,1,2,2,0,0
13,6,6,1,7,7,1
4337,10,8,2,10,8,2
4089,3,3,1,3,1,1
2824,2,0,1,4,0,1
1369,4,3,6,1,0,1
4660,2,5,3,1,0,5
2945,6,2,0,6,2,0
3411,8,6,1,4,6,1
91,0,5,4,0,4,1
5486,4,0,1,3,3,3
5051,4,3,1,2,2,1
5574,4,4,1,4,3,1
3499,0,1,1,0,0,0
4604,5,6,2,2,6,2
2823,8,1,3,8,6,2
1966,3,2,3,2,1,2
4130,3,1,3,3,2,3
205,7,4,5,8,4,3
1104,8,8,2,6,7,2
1955,2,3,1,2,4,1
1585,2,4,1,4,5,1
3943,6,4,2,7,6,4
5507,5,5,1,2,0,1
5121,8,8,1,8,9,1
3069,6,2,2,6,4,2
5509,4,3,3,4,3,3
4661,0,1,1,2,4,1
1129,3,6,1,6,7,1
1795,2,2,6,2,3,5
3893,2,2,1,4,5,1
3548,6,6,1,9,5,1
4798,7,3,1,5,4,1
4497,7,1,2,3,1,3
729,4,3,3,0,3,2
5675,7,2,5,7,4,1
2209,8,3,4,8,3,3
201,9,6,1,8,4,1
4029,0,0,0,3,1,7
3043,1,2,1,2,1,1
2317,7,3,1,7,1,1
5982,7,4,1,5,6,1
4911,0,1,2,0,0,0
3342,6,3,1,10,6,1
4551,4,3,1,4,2,1
1485,3,2,1,3,1,1
5846,7,4,1,6,3,1
3323,0,1,0,2,1,1
1016,4,0,2,4,1,3
5821,5,5,1,1,5,1
2343,0,1,0,4,3,1
5844,2,3,4,7,4,4
719,5,3,3,4,3,5
3820,4,1,2,2,1,0
4433,1,2,0,3,2,0
878,6,7,1,5,6,1
3124,7,3,4,5,5,2
4887,4,5,1,7,2,3
3993,4,0,1,4,2,1
2264,1,4,5,1,3,4
2811,3,0,1,1,1,1
4283,7,6,2,9,6,3
379,4,4,2,2,1,3
2540,3,3,3,4,1,1
1064,0,0,0,2,2,0
1180,3,0,0,4,0,0
2062,7,4,3,6,4,2
5932,3,6,1,6,6,1
4160,4,2,4,5,4,4
3928,7,7,2,6,0,2
5958,9,6,1,8,6,1
520,0,2,4,0,0,3
1367,3,0,3,3,7,1
1152,8,6,1,7,7,1
2027,2,2,2,5,2,3
647,3,4,1,4,3,1
1495,7,7,2,6,0,2
